FILE;LINE;CODE;RELEVANT;COMMENT;LICMA;LICMA COMMENT;COGNICRYPT;COGNICRYPT COMMENT;CRYPTOGUARD;CRYPTOGUARD COMMENT
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/brokencrypto/BrokenCryptoABICase10.java;17;Cipher cipher = Cipher.getInstance(String.valueOf(crypto));0;IDEA;0;;0;;1;
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/brokencrypto/BrokenCryptoABICase11.java;18;Cipher cipher = Cipher.getInstance(crypto);1;;1;;1;;1;
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/brokencrypto/BrokenCryptoABICase12.java;17;Cipher cipher = Cipher.getInstance(crypto);0;Blowfish;0;;1;;1;
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/brokencrypto/BrokenCryptoABICase13.java;19;Cipher cipher = Cipher.getInstance(crypto);0;RC4;0;;1;;1;
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/brokencrypto/BrokenCryptoABICase14.java;18;Cipher cipher = Cipher.getInstance(crypto);0;RC2;0;;1;;1;
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/brokencrypto/BrokenCryptoABICase15.java;18;Cipher cipher = Cipher.getInstance(crypto);0;IDEA;0;;1;;1;
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/brokencrypto/BrokenCryptoABICase1.java;14;Cipher cipher = Cipher.getInstance(crypto);1;;1;;1;;0;
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/brokencrypto/BrokenCryptoABICase2.java;14;Cipher cipher = Cipher.getInstance(crypto);0;Blowfish;0;;1;;1;
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/brokencrypto/BrokenCryptoABICase3.java;14;Cipher cipher = Cipher.getInstance(crypto);0;RC4;0;;1;;1;
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/brokencrypto/BrokenCryptoABICase4.java;14;Cipher cipher = Cipher.getInstance(crypto);0;RC2;0;;1;;0;
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/brokencrypto/BrokenCryptoABICase5.java;22;Cipher cipher = Cipher.getInstance(String.valueOf(crypto));1;;0;Nested method calls;0;;1;
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/brokencrypto/BrokenCryptoABICase6.java;17;Cipher cipher = Cipher.getInstance(String.valueOf(crypto));0;Blowfish;0;;0;;1;
